what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1675944649040
java.vm.version,sysinfo,,,"19.0-b09",1675944649040
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1675944649049
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1675944649450
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1675944652131
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1675944652805
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1675944652899
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1675944655520
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1675944655661
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1675944655692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675944657294
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1675944657419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675944664415
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1675944674164
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1675944681803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675944682399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675944682532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675944684799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675944695842
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1675944695861
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1675944698884
